data_sorteio,cd_sorteio,ganhadores,premio,dezenas_sorteadas
30/09/2020,2304,0,78511094.00,"[12, 21, 29, 54, 56, 57]"
26/09/2020,2303,0,50738496.00,"[3, 7, 17, 20, 48, 50]"
23/09/2020,2302,0,43030587.00,"[18, 22, 25, 27, 43, 44]"
19/09/2020,2301,0,36675402.00,"[17, 18, 35, 36, 47, 52]"
17/09/2020,2300,0,31289910.00,"[9, 21, 37, 39, 43, 54]"
15/09/2020,2299,0,27154067.00,"[2, 3, 19, 40, 44, 60]"
12/09/2020,2298,0,6032170.00,"[13, 17, 21, 31, 41, 49]"
9/09/2020,2297,0,2502037.00,"[20, 22, 35, 40, 41, 59]"
5/09/2020,2296,2,94320892.00,"[1, 6, 21, 29, 36, 59]"
2/09/2020,2295,0,82386315.00,"[6, 13, 26, 28, 35, 41]"
29/08/2020,2294,0,72530802.00,"[9, 15, 20, 33, 41, 43]"
26/08/2020,2293,0,45738828.00,"[1, 2, 10, 37, 42, 48]"
22/08/2020,2292,0,39230164.00,"[6, 16, 18, 33, 42, 57]"
19/08/2020,2291,0,32942212.00,"[12, 26, 31, 36, 37, 49]"
15/08/2020,2290,0,27551989.00,"[5, 18, 36, 44, 57, 60]"
13/08/2020,2289,0,23126358.00,"[6, 9, 34, 37, 38, 45]"
11/08/2020,2288,0,9101162.00,"[2, 26, 35, 39, 40, 56]"
8/08/2020,2287,0,6699522.00,"[2, 4, 6, 29, 41, 56]"
5/08/2020,2286,0,2905011.00,"[9, 21, 30, 41, 42, 43]"
1/08/2020,2285,2,22646686.00,"[1, 7, 10, 12, 33, 42]"
29/07/2020,2284,0,17931857.00,"[4, 10, 12, 14, 36, 46]"
25/07/2020,2283,0,2977939.00,"[4, 24, 37, 43, 59, 60]"
22/07/2020,2282,1,28456665.00,"[12, 27, 30, 36, 45, 52]"
18/07/2020,2281,0,23611345.00,"[14, 27, 35, 40, 50, 55]"
16/07/2020,2280,0,19414052.00,"[28, 29, 31, 50, 58, 59]"
14/07/2020,2279,1,43234926.00,"[5, 12, 14, 20, 27, 28]"
11/07/2020,2278,0,39002367.00,"[8, 17, 34, 37, 43, 45]"
8/07/2020,2277,0,32568253.00,"[10, 22, 23, 37, 53, 60]"
4/07/2020,2276,0,27323557.00,"[5, 15, 18, 27, 49, 57]"
1/07/2020,2275,0,22220008.00,"[2, 4, 25, 36, 50, 53]"
27/06/2020,2274,0,18148340.00,"[8, 11, 17, 33, 40, 55]"
24/06/2020,2273,1,43269740.00,"[15, 16, 20, 38, 40, 58]"
20/06/2020,2272,0,37260986.00,"[2, 5, 11, 24, 41, 49]"
17/06/2020,2271,0,31287703.00,"[6, 10, 27, 28, 41, 52]"
13/06/2020,2270,0,26039212.00,"[14, 16, 38, 39, 41, 48]"
10/06/2020,2269,0,21511693.00,"[1, 11, 14, 23, 29, 55]"
6/06/2020,2268,0,3158514.00,"[4, 13, 23, 28, 30, 52]"
3/06/2020,2267,1,45553191.00,"[20, 32, 33, 48, 49, 53]"
30/05/2020,2266,0,39159544.00,"[10, 23, 31, 37, 58, 59]"
27/05/2020,2265,0,33201656.00,"[14, 20, 23, 39, 46, 50]"
23/05/2020,2264,0,28424765.00,"[2, 3, 8, 19, 29, 37]"
20/05/2020,2263,0,2655819.00,"[9, 24, 33, 43, 49, 57]"
16/05/2020,2262,1,101195308.00,"[7, 8, 14, 23, 30, 46]"
13/05/2020,2261,0,88646317.00,"[7, 23, 26, 27, 29, 51]"
9/05/2020,2260,0,79280446.00,"[12, 14, 34, 35, 37, 47]"
7/05/2020,2259,0,71651016.00,"[20, 27, 41, 54, 56, 58]"
5/05/2020,2258,0,50925973.00,"[1, 5, 7, 14, 23, 26]"
2/05/2020,2257,0,46867597.00,"[18, 21, 30, 31, 34, 51]"
29/04/2020,2256,0,41961050.00,"[9, 10, 30, 37, 47, 54]"
25/04/2020,2255,0,37010278.00,"[15, 20, 39, 41, 49, 57]"
22/04/2020,2254,0,32702767.00,"[4, 9, 24, 44, 47, 56]"
18/04/2020,2253,0,20002495.00,"[31, 32, 33, 39, 52, 55]"
15/04/2020,2252,0,16489704.00,"[1, 17, 30, 37, 46, 50]"
11/04/2020,2251,0,13421030.00,"[5, 15, 22, 26, 54, 58]"
8/04/2020,2250,0,10768654.00,"[27, 33, 39, 52, 57, 58]"
4/04/2020,2249,0,8131697.00,"[4, 9, 31, 47, 49, 53]"
1/04/2020,2248,1,4906932.00,"[9, 15, 20, 29, 30, 42]"
28/03/2020,2247,0,2834266.00,"[1, 42, 44, 47, 48, 53]"
25/03/2020,2246,0,1239864.00,"[5, 9, 24, 27, 33, 46]"
21/03/2020,2245,1,15186785.00,"[11, 14, 15, 18, 33, 34]"
18/03/2020,2244,1,12147334.00,"[3, 5, 11, 34, 37, 42]"
14/03/2020,2243,0,8392895.00,"[14, 18, 28, 35, 38, 54]"
12/03/2020,2242,0,4810288.00,"[5, 9, 18, 24, 25, 42]"
10/03/2020,2241,0,1941983.00,"[1, 13, 18, 26, 40, 56]"
7/03/2020,2240,2,55788040.00,"[7, 9, 10, 19, 25, 58]"
4/03/2020,2239,0,48379553.00,"[7, 27, 31, 39, 45, 46]"
29/02/2020,2238,0,3183543.00,"[11, 36, 45, 55, 57, 58]"
27/02/2020,2237,2,211652716.00,"[11, 20, 27, 28, 53, 60]"
22/02/2020,2236,0,190088866.00,"[7, 20, 38, 43, 45, 53]"
19/02/2020,2235,0,170414041.00,"[14, 18, 30, 35, 55, 57]"
15/02/2020,2234,0,153469457.00,"[4, 21, 27, 29, 42, 47]"
12/02/2020,2233,0,104250368.00,"[4, 6, 32, 35, 41, 45]"
8/02/2020,2232,0,91897849.00,"[7, 8, 31, 34, 38, 47]"
5/02/2020,2231,0,80801905.00,"[4, 13, 25, 40, 53, 57]"
1/02/2020,2230,0,71624488.00,"[7, 17, 26, 39, 56, 60]"
29/01/2020,2229,0,63177897.00,"[6, 11, 29, 40, 41, 58]"
25/01/2020,2228,0,41053695.00,"[9, 19, 23, 32, 39, 45]"
23/01/2020,2227,0,35636168.00,"[6, 9, 12, 27, 32, 57]"
21/01/2020,2226,0,31025992.00,"[2, 4, 7, 16, 30, 38]"
18/01/2020,2225,0,27369478.00,"[1, 32, 37, 44, 46, 47]"
15/01/2020,2224,0,22276448.00,"[16, 23, 32, 50, 52, 58]"
11/01/2020,2223,0,9638420.00,"[2, 26, 40, 42, 49, 56]"
8/01/2020,2222,0,5692602.00,"[13, 14, 29, 30, 48, 59]"
4/01/2020,2221,0,2558901.00,"[5, 23, 34, 45, 56, 57]"
31/12/2019,2220,4,304213836.00,"[3, 35, 38, 40, 57, 58]"
21/12/2019,2219,0,110640988.00,"[8, 28, 36, 45, 57, 59]"
19/12/2019,2218,1,40059665.00,"[6, 16, 22, 38, 48, 52]"
17/12/2019,2217,0,35055609.00,"[10, 14, 16, 30, 32, 36]"
14/12/2019,2216,0,31185223.00,"[10, 24, 42, 43, 48, 49]"
11/12/2019,2215,0,25588866.00,"[1, 19, 21, 23, 33, 43]"
7/12/2019,2214,0,20884230.00,"[4, 10, 18, 30, 34, 47]"
30/11/2019,2212,0,44053920.00,"[23, 26, 51, 52, 53, 58]"
27/11/2019,2211,0,37697679.00,"[27, 36, 40, 41, 44, 54]"
23/11/2019,2210,0,32024497.00,"[11, 17, 24, 25, 33, 34]"
20/11/2019,2209,0,26567458.00,"[22, 25, 28, 32, 33, 47]"
16/11/2019,2208,0,10087126.00,"[16, 25, 30, 40, 45, 49]"
13/11/2019,2207,0,6535428.00,"[6, 10, 11, 43, 53, 55]"
9/11/2019,2206,0,2950094.00,"[6, 27, 38, 42, 45, 57]"
6/11/2019,2205,1,61429947.00,"[12, 21, 28, 37, 42, 57]"
4/11/2019,2204,0,55224861.00,"[1, 28, 29, 32, 35, 56]"
30/10/2019,2203,0,34518944.00,"[17, 34, 46, 49, 50, 57]"
26/10/2019,2202,0,29330473.00,"[11, 29, 37, 38, 43, 60]"
24/10/2019,2201,0,24749652.00,"[3, 13, 23, 41, 49, 53]"
22/10/2019,2200,0,20926952.00,"[11, 15, 28, 36, 43, 55]"
19/10/2019,2199,0,17954178.00,"[15, 23, 30, 35, 38, 44]"
16/10/2019,2198,1,34615569.00,"[1, 11, 34, 36, 44, 56]"
14/10/2019,2197,0,29738161.00,"[3, 11, 29, 35, 44, 57]"
9/10/2019,2196,0,23966764.00,"[1, 25, 27, 28, 41, 56]"
5/10/2019,2195,0,18905966.00,"[14, 24, 32, 38, 46, 53]"
2/10/2019,2194,0,14088559.00,"[8, 16, 20, 21, 31, 34]"
28/09/2019,2193,1,5698505.00,"[7, 8, 22, 27, 29, 42]"
26/09/2019,2192,0,2547271.00,"[7, 16, 37, 53, 57, 59]"
24/09/2019,2191,1,43258437.00,"[4, 8, 26, 33, 46, 53]"
21/09/2019,2190,0,39320939.00,"[5, 9, 20, 25, 35, 53]"
18/09/2019,2189,1,120085143.00,"[4, 11, 16, 22, 29, 33]"
14/09/2019,2188,0,105570573.00,"[2, 17, 21, 28, 51, 60]"
11/09/2019,2187,0,92102746.00,"[10, 11, 16, 21, 46, 50]"
9/09/2019,2186,0,82828325.00,"[12, 18, 19, 27, 41, 46]"
4/09/2019,2185,0,73263025.00,"[9, 18, 19, 22, 42, 47]"
31/08/2019,2184,0,65545159.00,"[15, 36, 45, 51, 52, 59]"
28/08/2019,2183,0,41460901.00,"[13, 26, 30, 34, 43, 51]"
24/08/2019,2182,0,35648074.00,"[19, 22, 39, 46, 47, 59]"
21/08/2019,2181,0,29992295.00,"[1, 8, 19, 33, 36, 48]"
17/08/2019,2180,0,24964336.00,"[10, 12, 16, 21, 28, 38]"
14/08/2019,2179,0,20015946.00,"[2, 13, 24, 35, 50, 54]"
10/08/2019,2178,0,5322631.00,"[2, 16, 21, 42, 50, 56]"
8/08/2019,2177,0,2419882.00,"[9, 11, 14, 31, 48, 51]"
6/08/2019,2176,1,30505746.00,"[8, 23, 25, 39, 43, 44]"
3/08/2019,2175,0,26848778.00,"[7, 25, 32, 43, 53, 55]"
31/07/2019,2174,0,21565438.00,"[10, 15, 34, 36, 56, 60]"
27/07/2019,2173,0,6019424.00,"[2, 9, 42, 44, 48, 50]"
24/07/2019,2172,0,2647404.00,"[9, 24, 28, 37, 43, 57]"
20/07/2019,2171,1,21978571.00,"[12, 13, 19, 36, 44, 55]"
17/07/2019,2170,0,16973996.00,"[10, 21, 24, 36, 38, 51]"
13/07/2019,2169,0,12759137.00,"[7, 34, 45, 51, 54, 59]"
11/07/2019,2168,1,8177021.00,"[1, 4, 25, 27, 29, 37]"
9/07/2019,2167,0,5130274.00,"[27, 37, 38, 43, 45, 54]"
6/07/2019,2166,0,3170919.00,"[3, 19, 34, 44, 56, 58]"
3/07/2019,2165,1,35218398.00,"[5, 37, 43, 49, 54, 56]"
29/06/2019,2164,0,29761158.00,"[16, 17, 25, 47, 48, 58]"
26/06/2019,2163,0,6044795.00,"[8, 18, 20, 24, 36, 45]"
22/06/2019,2162,0,2854890.00,"[11, 16, 22, 30, 34, 42]"
19/06/2019,2161,1,124209628.00,"[8, 9, 10, 24, 42, 44]"
15/06/2019,2160,0,113537844.00,"[1, 19, 46, 47, 49, 53]"
